execution_key	source_id	report_fqcn	runner	lane	variant_key	db_kind	infra_kind	execution_step	required	owner	optional_reason	review_at	disposition
v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|91:com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	v934-src|130:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/realquery/RequiredDatabaseQueryFacadeParityIT.java	com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	failsafe	database-contract-matrix	db-mysql57	mysql57	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|65:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	v934-src|104:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	failsafe	database-contract-matrix	db-postgres15	postgres15	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|66:com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	v934-src|105:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/multidb/MultiDatabaseQueryTest.java	com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	failsafe	database-contract-matrix	db-postgres15	postgres15	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|78:com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/gate/RequiredDatabasePreflightIT.java	com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	failsafe	database-contract-matrix	db-postgres15	postgres15	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|80:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	failsafe	database-contract-matrix	db-postgres15	postgres15	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|91:com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	v934-src|130:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/realquery/RequiredDatabaseQueryFacadeParityIT.java	com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	failsafe	database-contract-matrix	db-postgres15	postgres15	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|15:mysql8-targeted|56:com.foggyframework.dataset.db.model.engine.pivot.PivotIT	v934-src|95:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotIT	failsafe	database-contract-matrix	mysql8-targeted	mysql8	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|16:db-sqlserver2022|65:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	v934-src|104:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	failsafe	database-contract-matrix	db-sqlserver2022	sqlserver2022	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|16:db-sqlserver2022|66:com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	v934-src|105:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/multidb/MultiDatabaseQueryTest.java	com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	failsafe	database-contract-matrix	db-sqlserver2022	sqlserver2022	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|16:db-sqlserver2022|78:com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/gate/RequiredDatabasePreflightIT.java	com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	failsafe	database-contract-matrix	db-sqlserver2022	sqlserver2022	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|16:db-sqlserver2022|80:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	failsafe	database-contract-matrix	db-sqlserver2022	sqlserver2022	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|16:db-sqlserver2022|91:com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	v934-src|130:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/realquery/RequiredDatabaseQueryFacadeParityIT.java	com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	failsafe	database-contract-matrix	db-sqlserver2022	sqlserver2022	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|19:postgres15-targeted|56:com.foggyframework.dataset.db.model.engine.pivot.PivotIT	v934-src|95:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotIT	failsafe	database-contract-matrix	postgres15-targeted	postgres15	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|19:postgres15-targeted|70:com.foggyframework.dataset.db.model.semantic.DslCteResultStageWindowIT	v934-src|109:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/semantic/DslCteResultStageWindowIT.java	com.foggyframework.dataset.db.model.semantic.DslCteResultStageWindowIT	failsafe	database-contract-matrix	postgres15-targeted	postgres15	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|19:postgres15-targeted|74:com.foggyframework.dataset.db.model.semantic.DslCteRelationMetricFixtureIT	v934-src|113:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/semantic/DslCteRelationMetricFixtureIT.java	com.foggyframework.dataset.db.model.semantic.DslCteRelationMetricFixtureIT	failsafe	database-contract-matrix	postgres15-targeted	postgres15	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-mysql8|65:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	v934-src|104:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	failsafe	database-contract-matrix	db-mysql8	mysql8	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-mysql8|66:com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	v934-src|105:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/multidb/MultiDatabaseQueryTest.java	com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	failsafe	database-contract-matrix	db-mysql8	mysql8	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-mysql8|78:com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/gate/RequiredDatabasePreflightIT.java	com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	failsafe	database-contract-matrix	db-mysql8	mysql8	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-mysql8|80:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	failsafe	database-contract-matrix	db-mysql8	mysql8	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-mysql8|91:com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	v934-src|130:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/realquery/RequiredDatabaseQueryFacadeParityIT.java	com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	failsafe	database-contract-matrix	db-mysql8	mysql8	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-sqlite|65:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	v934-src|104:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	failsafe	database-contract-matrix	db-sqlite	sqlite	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-sqlite|66:com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	v934-src|105:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/multidb/MultiDatabaseQueryTest.java	com.foggyframework.dataset.db.model.multidb.MultiDatabaseQueryTest	failsafe	database-contract-matrix	db-sqlite	sqlite	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-sqlite|78:com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/gate/RequiredDatabasePreflightIT.java	com.foggyframework.dataset.db.model.lifecycle.gate.RequiredDatabasePreflightIT	failsafe	database-contract-matrix	db-sqlite	sqlite	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-sqlite|80:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	failsafe	database-contract-matrix	db-sqlite	sqlite	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
v934|8:failsafe|24:database-contract-matrix|9:db-sqlite|91:com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	v934-src|130:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/lifecycle/realquery/RequiredDatabaseQueryFacadeParityIT.java	com.foggyframework.dataset.db.model.lifecycle.realquery.RequiredDatabaseQueryFacadeParityIT	failsafe	database-contract-matrix	db-sqlite	sqlite	database	3	true	foggy-dataset-model	none	none	deferred-to-step3
